DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location,Supervisor Districts,Fire Prevention Districts,Current Police Districts,Neighborhoods - Analysis Boundaries,Zip Codes
2,Tuesday,10AM,6PM,19MFF-00105,773 MARKET ST,Pushcart located on Market St. 7 linear feet West of the Fire Hydrant. Must maintain 8 linear feet clearance from Street Artist Booth M22. Reference Street Artist Map #14 (http://www.sfartscommission.org/street_artists_program/maps/index.html),"Kettle Corn, Funnel Cakes, Lemonade, Beverages, Flan, Hot Dogs, Falafel, Hot and Cold Sandwiches, French Fries, Baklava and Pastries",1341056,,10:00,18:00,8746103,11/15/2011 01:48:04 PM,11/15/2011 01:50:08 PM,3706,096,N,Kettle Corn Star,6011164.82111,2114324.40143,37.786160934428665,-122.40512731130576,"(37.7861609344287, -122.405127311306)",9,12,2,8,28853
1,Monday,10AM,6PM,19MFF-00105,773 MARKET ST,Pushcart located on Market St. 7 linear feet West of the Fire Hydrant. Must maintain 8 linear feet clearance from Street Artist Booth M22. Reference Street Artist Map #14 (http://www.sfartscommission.org/street_artists_program/maps/index.html),"Kettle Corn, Funnel Cakes, Lemonade, Beverages, Flan, Hot Dogs, Falafel, Hot and Cold Sandwiches, French Fries, Baklava and Pastries",1341056,,10:00,18:00,8746103,11/15/2011 01:48:04 PM,11/15/2011 01:50:08 PM,3706,096,N,Kettle Corn Star,6011164.82111,2114324.40143,37.786160934428665,-122.40512731130576,"(37.7861609344287, -122.405127311306)",9,12,2,8,28853
5,Friday,10AM,6PM,19MFF-00105,773 MARKET ST,Pushcart located on Market St. 7 linear feet West of the Fire Hydrant. Must maintain 8 linear feet clearance from Street Artist Booth M22. Reference Street Artist Map #14 (http://www.sfartscommission.org/street_artists_program/maps/index.html),"Kettle Corn, Funnel Cakes, Lemonade, Beverages, Flan, Hot Dogs, Falafel, Hot and Cold Sandwiches, French Fries, Baklava and Pastries",1341056,,10:00,18:00,8746103,11/15/2011 01:48:04 PM,11/15/2011 01:50:08 PM,3706,096,N,Kettle Corn Star,6011164.82111,2114324.40143,37.786160934428665,-122.40512731130576,"(37.7861609344287, -122.405127311306)",9,12,2,8,28853
5,Friday,8AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,08:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
3,Wednesday,7AM,8AM,19MFF-00054,Assessors Block 8720/Lot009,"Setup at 325 China Basin St. 9:30am-10:30am, 11:30am-12:30pm","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks",1336678,,07:00,08:00,15024000,06/16/2011 02:31:15 PM,06/16/2011 02:31:49 PM,8720,009,Y,Mike's Catering,6016084.593,2109122.779,37.772152243244449,-122.38774298411559,"(37.7721522432444, -122.387742984116)",9,14,3,4,310
2,Tuesday,8AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,08:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
1,Monday,8AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,08:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
5,Friday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
1,Monday,11AM,7PM,19MFF-00044,801 MARKET ST,Located on south side of Market Street 40 LF west of 4th Street near curb,"Steak and chicken kebob,Steak and chicken kebob sandwiches,chicken teriyaki,chicken teriyaki sandwiches,garden salad side,grilled chicken burger, ground beef burgers, white rice side, canned drinks, and chips",1334023,,11:00,19:00,8747102,05/13/2011 08:43:14 AM,05/13/2011 08:43:36 AM,3705Z,001,N,Creme Brulee To Go,6010973.02311,2114153.60775,37.785681251325741,-122.40577885021497,"(37.7856812513257, -122.405778850215)",9,12,2,34,28853
0,Sunday,11AM,7PM,19MFF-00043,870 MARKET ST,North side of Market Street between 4th and 5th Streets near the Cable Car turnaround in front of the ped mounts and 7' west of the fire hydrant.,"Kettle Corn, Pizza, Coffee, Lattes, Cappuchino, Expresso, Hot Tea",1334022,,11:00,19:00,8747202,07/30/2014 03:30:07 PM,07/30/2014 03:46:22 PM,0329,005,N,Creme Brulee To Go,6010593.36901,2113879.05243,37.784906148887941,-122.40707299155427,"(37.7849061488879, -122.407072991554)",10,14,2,8,28852
